loan_amnt,term,int_rate,installment,annual_inc,dti,fico_score,revol_bal,revol_util,total_acc,home_ownership,purpose,emp_length,loan_status
16795, 36 months,16.66,595.95,66878.76,2.51,707,32769,4.1,35,MORTGAGE,debt_consolidation,3 years,0
1860, 36 months,9.3,59.41,,38.59,766,9336,1.5,15,RENT,credit_card,9 years,0
39158, 36 months,8.34,1233.22,90549.9,0.9,725,26214,20.0,17,OWN,medical,9 years,0
12284, 36 months,26.48,498.08,58790.59,23.6,731,41108,31.8,6,RENT,moving,< 1 year,1
7265, 60 months,19.11,188.9,,31.05,672,31667,48.5,19,RENT,debt_consolidation,10+ years,0
17850, 60 months,20.34,476.3,35991.59,31.52,610,20631,83.8,5,MORTGAGE,home_improvement,6 years,1
38194, 36 months,14.54,1315.42,48828.86,1.37,607,24116,31.5,29,RENT,moving,1 year,0
22962, 36 months,25.95,924.54,30808.48,36.26,716,32421,37.7,28,MORTGAGE,car,< 1 year,0
17023, 36 months,19.85,631.34,15300.93,36.74,669,22419,32.9,7,MORTGAGE,medical,< 1 year,1
2685, 36 months,22.81,103.67,41445.09,22.46,628,43313,,12,MORTGAGE,car,< 1 year,0
1769, 36 months,13.79,60.28,45556.5,19.28,837,2043,95.5,22,RENT,small_business,1 year,0
3433, 36 months,27.1,140.34,53229.78,1.79,585,1702,13.9,18,RENT,car,< 1 year,0
6311, 36 months,23.96,247.47,101447.1,22.48,608,38715,28.8,32,MORTGAGE,major_purchase,,1
38819, 36 months,24.71,1537.49,33144.4,16.38,735,43889,12.9,35,MORTGAGE,vacation,9 years,0
18568, 36 months,9.37,593.66,39314.5,30.91,842,12762,49.1,14,RENT,moving,9 years,0
20769, 36 months,11.6,685.87,77629.79,16.16,613,34155,93.2,24,RENT,debt_consolidation,10+ years,0
29693, 36 months,11.93,985.24,31209.78,27.34,816,13382,10.1,2,RENT,medical,6 years,1
7396, 36 months,11.6,244.24,53758.1,4.06,717,26239,44.1,5,MORTGAGE,small_business,9 years,0
28480, 60 months,24.75,831.76,38369.98,5.32,636,26656,2.2,31,MORTGAGE,car,2 years,0
26658, 36 months,6.22,813.65,42354.31,5.59,754,29852,,32,RENT,credit_card,8 years,0
19942, 36 months,7.21,617.67,77256.55,1.82,793,47881,64.1,17,MORTGAGE,debt_consolidation,1 year,0
19431, 60 months,11.66,428.9,39180.25,21.65,606,48843,70.0,4,RENT,debt_consolidation,1 year,0
3747, 60 months,10.0,79.61,78782.52,31.76,698,32130,47.2,13,MORTGAGE,credit_card,6 years,0
1189, 36 months,10.72,38.77,15192.24,24.42,726,10188,90.8,13,MORTGAGE,major_purchase,8 years,0
20118, 60 months,23.45,572.35,20790.08,23.0,844,28268,41.0,12,MORTGAGE,medical,5 years,0
36773, 36 months,18.17,1332.57,15000.0,27.22,837,27806,51.4,17,MORTGAGE,vacation,10+ years,0
2899, 36 months,5.63,87.71,24356.1,13.59,768,47898,69.5,30,RENT,other,< 1 year,0
2267, 36 months,15.16,78.76,,14.48,810,49093,52.1,22,MORTGAGE,vacation,5 years,0
32551, 36 months,14.68,1123.3,48507.73,12.57,777,46618,18.9,6,MORTGAGE,home_improvement,3 years,0
12394, 36 months,8.06,388.73,31799.9,28.48,818,25826,31.7,14,MORTGAGE,small_business,4 years,1
4556, 36 months,20.71,170.97,78408.22,6.47,649,31995,9.2,18,RENT,vacation,3 years,1
4890, 36 months,21.3,184.99,85340.69,0.52,831,4462,43.3,13,RENT,debt_consolidation,2 years,0
31740, 36 months,21.72,1207.57,23564.37,23.85,772,30472,60.9,18,RENT,other,1 year,0
15502, 36 months,21.89,591.15,219458.86,37.7,604,34804,11.9,2,RENT,major_purchase,1 year,0
22777, 36 months,5.5,687.77,57860.98,24.38,649,22789,63.1,9,RENT,small_business,9 years,0
11627, 36 months,26.96,474.43,62405.66,31.32,735,23173,89.3,17,RENT,car,10+ years,0
9792, 60 months,23.82,280.67,66061.4,26.91,725,38887,33.8,16,MORTGAGE,credit_card,3 years,0
9433, 60 months,25.84,281.54,65978.4,19.9,798,49689,22.2,20,MORTGAGE,small_business,2 years,0
12016, 60 months,5.85,231.47,33762.84,28.74,628,30735,89.3,26,RENT,medical,10+ years,0
24897, 36 months,26.51,1009.89,174122.02,32.96,773,8982,69.2,32,RENT,small_business,5 years,0
3612, 60 months,23.72,103.32,41311.12,8.99,619,29898,10.5,3,OTHER,other,9 years,0
24483, 36 months,24.34,964.91,87073.74,13.45,664,6863,40.8,26,OWN,small_business,2 years,1
18159, 36 months,7.6,565.69,36865.79,8.95,583,18332,67.4,32,OTHER,other,2 years,0
15541, 36 months,22.12,594.48,33144.77,18.09,826,13989,57.4,5,MORTGAGE,vacation,3 years,0
36920, 36 months,27.1,1509.25,153448.27,35.4,584,37946,61.9,5,RENT,debt_consolidation,4 years,0
27531, 36 months,20.77,1033.98,45934.76,13.81,805,21488,56.7,13,MORTGAGE,vacation,10+ years,0
2585, 36 months,18.34,93.9,48027.82,14.98,729,20527,79.8,18,OWN,other,8 years,0
4943, 60 months,26.78,150.29,58114.49,34.41,817,12947,32.0,22,OWN,home_improvement,10+ years,0
24939, 36 months,15.47,870.27,233529.17,20.61,727,26011,70.8,30,MORTGAGE,major_purchase,4 years,0
20457, 36 months,18.98,749.67,180098.05,21.42,682,44209,99.1,23,MORTGAGE,home_improvement,< 1 year,1
2021, 60 months,16.22,49.38,105902.02,34.43,754,19232,39.0,37,MORTGAGE,debt_consolidation,8 years,0
12653, 36 months,26.49,513.11,271623.87,19.62,815,32473,79.1,17,MORTGAGE,car,1 year,0
14417, 36 months,7.21,446.54,27812.87,27.26,613,30985,24.6,16,MORTGAGE,vacation,3 years,0
10692, 36 months,16.78,380.03,72658.84,3.43,751,16545,28.2,31,MORTGAGE,small_business,9 years,0
7873, 36 months,20.96,296.45,51302.45,7.15,585,12104,93.5,12,MORTGAGE,credit_card,5 years,0
6675, 36 months,23.32,259.5,16958.89,16.18,804,13347,2.6,14,MORTGAGE,small_business,8 years,0
1161, 36 months,18.62,42.33,64722.11,19.79,632,2634,21.7,24,RENT,small_business,1 year,0
38065, 36 months,25.95,1532.65,36515.94,38.63,836,5101,48.3,35,MORTGAGE,small_business,8 years,1
27557, 36 months,26.69,1120.44,123019.79,38.83,638,22150,40.2,21,RENT,moving,8 years,0
34763, 36 months,6.95,1072.59,38676.48,34.05,825,25970,62.9,3,RENT,vacation,< 1 year,1
33606, 36 months,14.55,1157.57,37379.02,12.62,586,17893,19.3,9,RENT,other,10+ years,0
12534, 36 months,6.03,381.48,122987.9,38.56,793,18703,7.1,19,RENT,credit_card,5 years,0
30127, 60 months,12.91,684.09,47132.95,27.57,657,27826,36.9,8,RENT,car,5 years,0
26851, 36 months,17.58,965.08,98491.61,15.72,768,22489,52.4,32,RENT,small_business,8 years,0
2016, 36 months,25.99,81.22,63235.15,28.07,795,41439,56.2,23,MORTGAGE,moving,5 years,0
25253, 36 months,24.55,998.05,63746.07,,640,46012,60.1,29,RENT,debt_consolidation,1 year,0
25276, 36 months,8.37,796.38,42343.56,5.85,640,45214,54.9,26,RENT,small_business,7 years,0
24247, 36 months,7.59,755.24,66258.96,33.19,794,36767,24.6,2,MORTGAGE,credit_card,< 1 year,0
25300, 36 months,18.76,924.33,45301.93,25.82,624,42796,76.5,33,MORTGAGE,other,4 years,0
9529, 60 months,17.47,239.23,30264.11,14.57,751,16376,8.8,26,RENT,credit_card,9 years,0
18262, 60 months,11.49,401.54,46048.36,20.03,800,19733,19.8,17,MORTGAGE,other,2 years,0
10268, 36 months,25.74,412.28,106159.55,36.21,674,11406,73.9,30,MORTGAGE,medical,10+ years,0
22271, 60 months,26.37,671.69,67616.38,25.26,623,28167,28.0,25,RENT,car,5 years,0
13185, 36 months,14.56,454.23,77735.28,15.93,807,30659,49.3,18,MORTGAGE,home_improvement,4 years,0
22243, 36 months,25.53,890.62,49063.98,,641,36979,32.7,7,MORTGAGE,debt_consolidation,9 years,0
9571, 36 months,14.14,327.77,15326.3,,798,49543,50.7,15,MORTGAGE,moving,3 years,0
39044, 36 months,22.08,1492.72,23556.17,39.13,668,44374,34.7,27,RENT,debt_consolidation,2 years,0
